category,subcategory,count
Aaron Rowe,unknown,17
Adam Duvander,unknown,1
Adam Fisher,unknown,3
Adam Higginbotham,unknown,1
Adam Rogers,unknown,8
Adam Savage,unknown,1
Adrian Chen,unknown,1
Alice Gregory,unknown,1
Alison Hawkes,unknown,1
Alisson Clark,unknown,42
Allen McDuffee,unknown,1
Allison Davis,unknown,2
Allison P. Davis,unknown,5
Amy Kraft,unknown,64
Amy Wallace,unknown,2
Amy Zimmerman,unknown,1
And My Axe,video-games,1
Andrea Schwalm,unknown,21
Andrew Blum,unknown,1
Andrew Chaikin,unknown,1
Andrew Rice,unknown,1
Andy Greenberg,unknown,1
Andy Robertson,unknown,171
Angela Watercutter,unknown,8
Annalee Newitz,unknown,56
Annaliza Savage,unknown,1
Anne Trubek,unknown,1
Anton Olsen,unknown,84
Apps,unknown,1
Ariane Coffin,unknown,29
Arnie Cooper,unknown,2
Artificial Intelligence,unknown,5
Artificial Intelligence,policy,1
Backchannel,video-games,1
Bart Leib,unknown,4
Becky Ferreira,unknown,1
Ben Mezrich,unknown,1
Ben Paynter,unknown,3
Benjamin Wallace,unknown,1
Bess Kalb,unknown,2
Betsy Mason,unknown,1
Beverly Hanly,unknown,1
Bill Day,unknown,1
Bill Gifford,unknown,1
Bill Wasik,unknown,1
Biotech,biotech-genetic-engineering,1
Biotech,environment-climate-change,1
Biz Stone,unknown,1
Blockchain and Cryptocurrency,blockchain-cryptocurrency,2
Blockchain and Cryptocurrency,politics-news,1
Bob Parks,unknown,5
Bonnie Tsui,unknown,1
Books,unknown,3
Brad Moon,unknown,91
Brandi Schlossberg,unknown,1
Brandon Keim,unknown,2
Brendan I. Koerner,unknown,25
Brent Richards,unknown,2
Brian McLaughlin,unknown,37
Brian Raftery,unknown,9
Brigid Ashwood,unknown,42
Brita,unknown,5
Bruce Sterling,unknown,382
Bryan Gardiner,unknown,4
Bryan Lufkin,unknown,3
Business,unknown,10498
Business,politics-news,629
Business,social-media,508
Business,transportation,499
Business,computers-software,253
Business,blockchain-cryptocurrency,226
Business,artificial-intelligence,167
Business,tech-culture,162
Business,policy-net-neutrality,87
Business,environment,70
Business,policy,70
Business,environment-climate-change,66
Business,global-elections,56
Business,health-medicine,47
Business,disinformation,44
